title,year,duration,pg,rating,url
Um Sonho de Liberdade,1994,2h 22m,16,"9,3",https://www.imdb.com/pt/title/tt0111161/?ref_=chttp_t_1
O Poderoso Chefão,1972,2h 55m,14,"9,2",https://www.imdb.com/pt/title/tt0068646/?ref_=chttp_t_2
Batman: O Cavaleiro das Trevas,2008,2h 32m,12,"9,0",https://www.imdb.com/pt/title/tt0468569/?ref_=chttp_t_3
O Poderoso Chefão: Parte II,1974,3h 22m,14,"9,0",https://www.imdb.com/pt/title/tt0071562/?ref_=chttp_t_4
12 Homens e uma Sentença,1957,1h 36m,Livre,"9,0",https://www.imdb.com/pt/title/tt0050083/?ref_=chttp_t_5
O Senhor dos Anéis: O Retorno do Rei,2003,3h 21m,12,"9,0",https://www.imdb.com/pt/title/tt0167260/?ref_=chttp_t_6
A Lista de Schindler,1993,3h 15m,14,"9,0",https://www.imdb.com/pt/title/tt0108052/?ref_=chttp_t_7
Pulp Fiction: Tempo de Violência,1994,2h 34m,18,"8,9",https://www.imdb.com/pt/title/tt0110912/?ref_=chttp_t_8
O Senhor dos Anéis: A Sociedade do Anel,2001,2h 58m,12,"8,9",https://www.imdb.com/pt/title/tt0120737/?ref_=chttp_t_9
Três Homens em Conflito,1966,2h 41m,14,"8,8",https://www.imdb.com/pt/title/tt0060196/?ref_=chttp_t_10
Forrest Gump: O Contador de Histórias,1994,2h 22m,14,"8,8",https://www.imdb.com/pt/title/tt0109830/?ref_=chttp_t_11
O Senhor dos Anéis: As Duas Torres,2002,2h 59m,12,"8,8",https://www.imdb.com/pt/title/tt0167261/?ref_=chttp_t_12
Clube da Luta,1999,2h 19m,18,"8,8",https://www.imdb.com/pt/title/tt0137523/?ref_=chttp_t_13
A Origem,2010,2h 28m,14,"8,8",https://www.imdb.com/pt/title/tt1375666/?ref_=chttp_t_14
Star Wars: Episódio V - O Império Contra-Ataca,1980,2h 4m,Livre,"8,7",https://www.imdb.com/pt/title/tt0080684/?ref_=chttp_t_15
Matrix,1999,2h 16m,14,"8,7",https://www.imdb.com/pt/title/tt0133093/?ref_=chttp_t_16
Os Bons Companheiros,1990,2h 25m,14,"8,7",https://www.imdb.com/pt/title/tt0099685/?ref_=chttp_t_17
Interestelar,2014,2h 49m,10,"8,7",https://www.imdb.com/pt/title/tt0816692/?ref_=chttp_t_18
Um Estranho no Ninho,1975,2h 13m,16,"8,7",https://www.imdb.com/pt/title/tt0073486/?ref_=chttp_t_19
Seven - Os Sete Crimes Capitais,1995,2h 7m,14,"8,6",https://www.imdb.com/pt/title/tt0114369/?ref_=chttp_t_20
A Felicidade Não se Compra,1946,2h 10m,Livre,"8,6",https://www.imdb.com/pt/title/tt0038650/?ref_=chttp_t_21
O Silêncio dos Inocentes,1991,1h 58m,14,"8,6",https://www.imdb.com/pt/title/tt0102926/?ref_=chttp_t_22
Os Sete Samurais,1954,3h 27m,10,"8,6",https://www.imdb.com/pt/title/tt0047478/?ref_=chttp_t_23
O Resgate do Soldado Ryan,1998,2h 49m,14,"8,6",https://www.imdb.com/pt/title/tt0120815/?ref_=chttp_t_24
Cidade de Deus,2002,2h 10m,18,"8,6",https://www.imdb.com/pt/title/tt0317248/?ref_=chttp_t_25
À Espera de um Milagre,1999,3h 9m,18,"8,6",https://www.imdb.com/pt/title/tt0120689/?ref_=chttp_t_26
A Vida é Bela,1997,1h 56m,Livre,"8,6",https://www.imdb.com/pt/title/tt0118799/?ref_=chttp_t_27
O Exterminador do Futuro 2: O Julgamento Final,1991,2h 17m,14,"8,6",https://www.imdb.com/pt/title/tt0103064/?ref_=chttp_t_28
Star Wars: Episódio IV - Uma Nova Esperança,1977,2h 1m,10,"8,6",https://www.imdb.com/pt/title/tt0076759/?ref_=chttp_t_29
De Volta para o Futuro,1985,1h 56m,Livre,"8,5",https://www.imdb.com/pt/title/tt0088763/?ref_=chttp_t_30
A Viagem de Chihiro,2001,2h 4m,Livre,"8,6",https://www.imdb.com/pt/title/tt0245429/?ref_=chttp_t_31
O Pianista,2002,2h 30m,14,"8,5",https://www.imdb.com/pt/title/tt0253474/?ref_=chttp_t_32
Gladiador,2000,2h 35m,14,"8,5",https://www.imdb.com/pt/title/tt0172495/?ref_=chttp_t_33
Parasita,2019,2h 12m,16,"8,5",https://www.imdb.com/pt/title/tt6751668/?ref_=chttp_t_34
Psicose,1960,1h 49m,14,"8,5",https://www.imdb.com/pt/title/tt0054215/?ref_=chttp_t_35
O Rei Leão,1994,1h 28m,Livre,"8,5",https://www.imdb.com/pt/title/tt0110357/?ref_=chttp_t_36
Túmulo dos Vagalumes,1988,1h 28m,12,"8,5",https://www.imdb.com/pt/title/tt0095327/?ref_=chttp_t_37
Os Infiltrados,2006,2h 31m,18,"8,5",https://www.imdb.com/pt/title/tt0407887/?ref_=chttp_t_38
Whiplash: Em Busca da Perfeição,2014,1h 46m,12,"8,5",https://www.imdb.com/pt/title/tt2582802/?ref_=chttp_t_39
Harakiri,1962,2h 13m,16,"8,6",https://www.imdb.com/pt/title/tt0056058/?ref_=chttp_t_40
O Grande Truque,2006,2h 10m,14,"8,5",https://www.imdb.com/pt/title/tt0482571/?ref_=chttp_t_41
A Outra História Americana,1998,1h 59m,16,"8,5",https://www.imdb.com/pt/title/tt0120586/?ref_=chttp_t_42
O Profissional,1994,1h 50m,14,"8,5",https://www.imdb.com/pt/title/tt0110413/?ref_=chttp_t_43
Homem-Aranha: Através do Aranhaverso,2023,2h 20m,10,"8,5",https://www.imdb.com/pt/title/tt9362722/?ref_=chttp_t_44
Casablanca,1942,1h 42m,Livre,"8,5",https://www.imdb.com/pt/title/tt0034583/?ref_=chttp_t_45
Os Suspeitos,1995,1h 46m,14,"8,5",https://www.imdb.com/pt/title/tt0114814/?ref_=chttp_t_46
Intocáveis,2011,1h 52m,14,"8,5",https://www.imdb.com/pt/title/tt1675434/?ref_=chttp_t_47
Cinema Paradiso,1988,2h 54m,10,"8,5",https://www.imdb.com/pt/title/tt0095765/?ref_=chttp_t_48
Alien - O 8º Passageiro,1979,1h 57m,14,"8,5",https://www.imdb.com/pt/title/tt0078748/?ref_=chttp_t_49
Tempos Modernos,1936,1h 27m,Livre,"8,5",https://www.imdb.com/pt/title/tt0027977/?ref_=chttp_t_50
Janela Indiscreta,1954,1h 52m,12,"8,5",https://www.imdb.com/pt/title/tt0047396/?ref_=chttp_t_51
Era uma Vez no Oeste,1968,2h 46m,14,"8,5",https://www.imdb.com/pt/title/tt0064116/?ref_=chttp_t_52
Django Livre,2012,2h 45m,16,"8,5",https://www.imdb.com/pt/title/tt1853728/?ref_=chttp_t_53
Luzes da Cidade,1931,1h 27m,Livre,"8,5",https://www.imdb.com/pt/title/tt0021749/?ref_=chttp_t_54
Apocalypse Now,1979,2h 27m,16,"8,4",https://www.imdb.com/pt/title/tt0078788/?ref_=chttp_t_55
Duna: Parte 2,2024,2h 46m,14,"8,5",https://www.imdb.com/pt/title/tt15239678/?ref_=chttp_t_56
WALL·E,2008,1h 38m,Livre,"8,4",https://www.imdb.com/pt/title/tt0910970/?ref_=chttp_t_57
Amnésia,2000,1h 53m,16,"8,4",https://www.imdb.com/pt/title/tt0209144/?ref_=chttp_t_58
Os Caçadores da Arca Perdida,1981,1h 55m,Livre,"8,4",https://www.imdb.com/pt/title/tt0082971/?ref_=chttp_t_59
A Vida dos Outros,2006,2h 17m,12,"8,4",https://www.imdb.com/pt/title/tt0405094/?ref_=chttp_t_60
Vingadores: Guerra Infinita,2018,2h 29m,12,"8,4",https://www.imdb.com/pt/title/tt4154756/?ref_=chttp_t_61
Crepúsculo dos Deuses,1950,1h 50m,Livre,"8,4",https://www.imdb.com/pt/title/tt0043014/?ref_=chttp_t_62
Homem-Aranha: No Aranhaverso,2018,1h 57m,10,"8,4",https://www.imdb.com/pt/title/tt4633694/?ref_=chttp_t_63
Testemunha de Acusação,1957,1h 56m,12,"8,4",https://www.imdb.com/pt/title/tt0051201/?ref_=chttp_t_64
Glória Feita de Sangue,1957,1h 28m,14,"8,4",https://www.imdb.com/pt/title/tt0050825/?ref_=chttp_t_65
O Iluminado,1980,2h 26m,16,"8,4",https://www.imdb.com/pt/title/tt0081505/?ref_=chttp_t_66
O Grande Ditador,1940,2h 5m,Livre,"8,4",https://www.imdb.com/pt/title/tt0032553/?ref_=chttp_t_67
Repetente,2023,2h 27m,10,"8,7",https://www.imdb.com/pt/title/tt23849204/?ref_=chttp_t_68
Bastardos Inglórios,2009,2h 33m,18,"8,4",https://www.imdb.com/pt/title/tt0361748/?ref_=chttp_t_69
Aliens: O Resgate,1986,2h 17m,14,"8,4",https://www.imdb.com/pt/title/tt0090605/?ref_=chttp_t_70
Batman: O Cavaleiro das Trevas Ressurge,2012,2h 44m,12,"8,4",https://www.imdb.com/pt/title/tt1345836/?ref_=chttp_t_71
Viva: A Vida é uma Festa,2017,1h 45m,Livre,"8,4",https://www.imdb.com/pt/title/tt2380307/?ref_=chttp_t_72
Amadeus,1984,2h 40m,Livre,"8,4",https://www.imdb.com/pt/title/tt0086879/?ref_=chttp_t_73
Toy Story,1995,1h 21m,Livre,"8,3",https://www.imdb.com/pt/title/tt0114709/?ref_=chttp_t_74
Vingadores: Ultimato,2019,3h 1m,12,"8,4",https://www.imdb.com/pt/title/tt4154796/?ref_=chttp_t_75
Gênio Indomável,1997,2h 6m,14,"8,3",https://www.imdb.com/pt/title/tt0119217/?ref_=chttp_t_76
Oldboy,2003,2h,16,"8,3",https://www.imdb.com/pt/title/tt0364569/?ref_=chttp_t_77
Dr. Fantástico,1964,1h 35m,10,"8,3",https://www.imdb.com/pt/title/tt0057012/?ref_=chttp_t_78
O Barco: Inferno no Mar,1981,2h 29m,14,"8,4",https://www.imdb.com/pt/title/tt0082096/?ref_=chttp_t_79
Coração Valente,1995,2h 58m,16,"8,3",https://www.imdb.com/pt/title/tt0112573/?ref_=chttp_t_80
Beleza Americana,1999,2h 2m,14,"8,3",https://www.imdb.com/pt/title/tt0169547/?ref_=chttp_t_81
Céu e Inferno,1963,2h 23m,Not Rated,"8,4",https://www.imdb.com/pt/title/tt0057565/?ref_=chttp_t_82
Princesa Mononoke,1997,2h 13m,12,"8,3",https://www.imdb.com/pt/title/tt0119698/?ref_=chttp_t_83
Your Name,2016,1h 46m,Livre,"8,4",https://www.imdb.com/pt/title/tt5311514/?ref_=chttp_t_84
3 Idiotas,2009,2h 50m,12,"8,4",https://www.imdb.com/pt/title/tt1187043/?ref_=chttp_t_85
Coringa,2019,2h 2m,16,"8,3",https://www.imdb.com/pt/title/tt7286456/?ref_=chttp_t_86
Era uma Vez na América,1984,3h 49m,18,"8,3",https://www.imdb.com/pt/title/tt0087843/?ref_=chttp_t_87
Cafarnaum,2018,2h 6m,16,"8,4",https://www.imdb.com/pt/title/tt8267604/?ref_=chttp_t_88
Cantando na Chuva,1952,1h 43m,Livre,"8,3",https://www.imdb.com/pt/title/tt0045152/?ref_=chttp_t_89
Vá e Veja,1985,2h 22m,18,"8,3",https://www.imdb.com/pt/title/tt0091251/?ref_=chttp_t_90
Réquiem para um Sonho,2000,1h 42m,18,"8,3",https://www.imdb.com/pt/title/tt0180093/?ref_=chttp_t_91
Star Wars: Episódio VI - O Retorno de Jedi,1983,2h 11m,Livre,"8,3",https://www.imdb.com/pt/title/tt0086190/?ref_=chttp_t_92
Toy Story 3,2010,1h 43m,Livre,"8,3",https://www.imdb.com/pt/title/tt0435761/?ref_=chttp_t_93
A Caça,2012,1h 55m,14,"8,3",https://www.imdb.com/pt/title/tt2106476/?ref_=chttp_t_94
Viver,1952,2h 23m,Not Rated,"8,3",https://www.imdb.com/pt/title/tt0044741/?ref_=chttp_t_95
Brilho Eterno de uma Mente sem Lembranças,2004,1h 48m,14,"8,3",https://www.imdb.com/pt/title/tt0338013/?ref_=chttp_t_96
2001: Uma Odisséia no Espaço,1968,2h 29m,Livre,"8,3",https://www.imdb.com/pt/title/tt0062622/?ref_=chttp_t_97
Incêndios,2010,2h 11m,14,"8,3",https://www.imdb.com/pt/title/tt1255953/?ref_=chttp_t_98
Cães de Aluguel,1992,1h 39m,18,"8,3",https://www.imdb.com/pt/title/tt0105236/?ref_=chttp_t_99
Se Meu Apartamento Falasse,1960,2h 5m,Livre,"8,3",https://www.imdb.com/pt/title/tt0053604/?ref_=chttp_t_100
Hababam Sinifi Sinifta Kaldi,1975,1h 35m,N/A,"8,7",https://www.imdb.com/pt/title/tt0252488/?ref_=chttp_t_101
Lawrence da Arábia,1962,3h 47m,14,"8,3",https://www.imdb.com/pt/title/tt0056172/?ref_=chttp_t_102
Scarface,1983,2h 50m,18,"8,3",https://www.imdb.com/pt/title/tt0086250/?ref_=chttp_t_103
Pacto de Sangue,1944,1h 47m,14,"8,3",https://www.imdb.com/pt/title/tt0036775/?ref_=chttp_t_104
Fogo Contra Fogo,1995,2h 50m,14,"8,3",https://www.imdb.com/pt/title/tt0113277/?ref_=chttp_t_105
Intriga Internacional,1959,2h 16m,14,"8,3",https://www.imdb.com/pt/title/tt0053125/?ref_=chttp_t_106
Up: Altas Aventuras,2009,1h 36m,Livre,"8,3",https://www.imdb.com/pt/title/tt1049413/?ref_=chttp_t_107
Cidadão Kane,1941,1h 59m,Livre,"8,3",https://www.imdb.com/pt/title/tt0033467/?ref_=chttp_t_108
"M, o Vampiro de Dusseldorf",1931,1h 57m,12,"8,3",https://www.imdb.com/pt/title/tt0022100/?ref_=chttp_t_109
Nascido para Matar,1987,1h 56m,16,"8,2",https://www.imdb.com/pt/title/tt0093058/?ref_=chttp_t_110
Um Corpo que Cai,1958,2h 8m,14,"8,2",https://www.imdb.com/pt/title/tt0052357/?ref_=chttp_t_111
O Fabuloso Destino de Amélie Poulain,2001,2h 2m,14,"8,3",https://www.imdb.com/pt/title/tt0211915/?ref_=chttp_t_112
A Separação,2011,2h 3m,12,"8,3",https://www.imdb.com/pt/title/tt1832382/?ref_=chttp_t_113
Como Estrelas na Terra,2007,2h 42m,Livre,"8,3",https://www.imdb.com/pt/title/tt0986264/?ref_=chttp_t_114
O Sol é para Todos,1962,2h 9m,12,"8,3",https://www.imdb.com/pt/title/tt0056592/?ref_=chttp_t_115
Duro de Matar,1988,2h 12m,14,"8,2",https://www.imdb.com/pt/title/tt0095016/?ref_=chttp_t_116
Laranja Mecânica,1971,2h 16m,(Banned),"8,2",https://www.imdb.com/pt/title/tt0066921/?ref_=chttp_t_117
Golpe de Mestre,1973,2h 9m,18,"8,2",https://www.imdb.com/pt/title/tt0070735/?ref_=chttp_t_118
Indiana Jones e a Última Cruzada,1989,2h 7m,Livre,"8,2",https://www.imdb.com/pt/title/tt0097576/?ref_=chttp_t_119
Oppenheimer,2023,3h,16,"8,3",https://www.imdb.com/pt/title/tt15398776/?ref_=chttp_t_120
Metrópolis,1927,2h 33m,Livre,"8,3",https://www.imdb.com/pt/title/tt0017136/?ref_=chttp_t_121
Snatch - Porcos e Diamantes,2000,1h 44m,16,"8,2",https://www.imdb.com/pt/title/tt0208092/?ref_=chttp_t_122
1917,2019,1h 59m,14,"8,2",https://www.imdb.com/pt/title/tt8579674/?ref_=chttp_t_123
Los Angeles: Cidade Proibida,1997,2h 18m,18,"8,2",https://www.imdb.com/pt/title/tt0119488/?ref_=chttp_t_124
